axis,scenario_id,candidate_id,family,H_scale,multipliers_json,overrides_json,M0_status,Msmall_status,M0_C_track_status,Msmall_C_track_status,C_recover_safe,C_track_safe,retained_for_stage_c,candidate_status,terminal_peak_ratio,max_tracking_nte_msmall,nonlinear_overlap_msmall_s,nonlinear_observable,support_size,boundary_score,rejection_reason
pitch,px4_stabilized_pitch,att_p_x2_x2,att_p_x2,0.5,"{""att_p"": 2.0}","{""MC_PITCH_P"": 12.0}",safe,safe,safe,safe,True,True,True,,0.09808273187705449,0.0,0.0,True,1,0.13758014809508898,
pitch,px4_stabilized_pitch,rate_d_high_x2p5,rate_d_high,0.5,"{""rate_d"": 2.5}","{""MC_PITCHRATE_D"": 0.006375000230036501}",violation_like,violation_like,safe,safe,False,True,False,INVALID_PURE_PARAM,4.893803255898612,2.075338964206652,0.12400007247924805,True,1,5.372155626317008,m0_and_msmall_not_safe
pitch,px4_stabilized_pitch,rate_d_high_x1p75,rate_d_high,0.5,"{""rate_d"": 1.75}","{""MC_PITCHRATE_D"": 0.00446250016102555}",violation_like,violation_like,safe,safe,False,True,False,INVALID_PURE_PARAM,4.718055725097656,2.4585459945927166,0.07999992370605469,True,1,5.267883854265362,m0_and_msmall_not_safe
pitch,px4_stabilized_pitch,rate_d_high_x1p375,rate_d_high,0.5,"{""rate_d"": 1.375}","{""MC_PITCHRATE_D"": 0.003506250126520075}",violation_like,violation_like,safe,safe,False,True,False,INVALID_PURE_PARAM,4.599277632577079,2.240258444261147,0.059999942779541016,True,1,5.103598101349196,m0_and_msmall_not_safe
pitch,px4_stabilized_pitch,rate_d_high_x1p188,rate_d_high,0.5,"{""rate_d"": 1.1875}","{""MC_PITCHRATE_D"": 0.003028125109267338}",safe,safe,safe,safe,True,True,True,,0.14622852206230164,0.815851182308723,0.0,True,1,0.3637075881132249,
pitch,px4_stabilized_pitch,rate_i_x3,rate_i_high,0.5,"{""rate_i"": 3.0}","{""MC_PITCHRATE_I"": 0.6000000089406966}",safe,safe,safe,safe,True,True,True,,0.11880795870508468,0.5872144032942128,0.0,True,1,0.31269465077306763,
pitch,px4_stabilized_pitch,rate_d_low_x0p35,rate_d_low,0.5,"{""rate_d"": 0.35}","{""MC_PITCHRATE_D"": 0.00089250003220511}",safe,safe,safe,safe,True,True,True,,0.06976375622408731,0.3071882486312761,0.0,True,1,0.18084158605682116,
roll,px4_acro_roll,rate_p_x3,rate_p_x1p5,0.5,"{""rate_p"": 3.0}","{""MC_ROLLRATE_P"": 0.5}",violation_like,violation_like,safe,safe,False,True,False,INVALID_PURE_PARAM,5.408878667013986,3.670065122376461,0.10800027847290039,True,1,6.203994163642274,m0_and_msmall_not_safe
roll,px4_acro_roll,rate_p_x2,rate_p_x1p5,0.5,"{""rate_p"": 2.0}","{""MC_ROLLRATE_P"": 0.5}",safe,violation_like,safe,safe,False,True,False,INVALID_PURE_PARAM,5.4054549762180875,3.41180430987821,0.11599993705749512,True,1,6.154623327764136,msmall_not_safe
roll,px4_acro_roll,rate_p_x1p5,rate_p_x1p5,0.5,"{""rate_p"": 1.5}","{""MC_ROLLRATE_P"": 0.4500000178813933}",safe,safe,safe,safe,True,True,True,,0.08414091276271003,0.23912998335392802,0.0,True,1,0.1690503179068935,
roll,px4_acro_roll,rate_p_x1p75,rate_p_x1p5,0.5,"{""rate_p"": 1.75}","{""MC_ROLLRATE_P"": 0.5}",violation_like,violation_like,safe,safe,False,True,False,INVALID_PURE_PARAM,5.389842305864607,3.207554832355147,0.06800007820129395,True,1,6.088302040710534,m0_and_msmall_not_safe
roll,px4_acro_roll,att_p_boundary_rate_p_x1p5,att_p_boundary_rate_p,0.5,"{""att_p"": 2.0, ""rate_p"": 1.5}","{""MC_ROLLRATE_P"": 0.4500000178813933, ""MC_ROLL_P"": 12.0}",safe,safe,safe,safe,True,True,True,,0.1361825955765588,0.3623411052142279,0.0,True,2,0.2524149005084052,
roll,px4_acro_roll,rate_p_boundary_low_d_x1p5,rate_p_boundary_low_d,0.5,"{""rate_d"": 0.35, ""rate_p"": 1.5}","{""MC_ROLLRATE_D"": 0.000525000004563475, ""MC_ROLLRATE_P"": 0.4500000178813933}",safe,safe,safe,safe,True,True,True,,0.11146473033087595,0.3525163857578935,0.0,True,2,0.21586003692850156,
roll,px4_acro_roll,rate_p_boundary_high_i_x1p5,rate_p_boundary_high_i,0.5,"{""rate_i"": 3.0, ""rate_p"": 1.5}","{""MC_ROLLRATE_I"": 0.9000000357627866, ""MC_ROLLRATE_P"": 0.4500000178813933}",safe,safe,safe,safe,True,True,True,,0.10772515620504107,0.333904685512117,0.0,True,2,0.21942128985238038,
