trigger_id,source_rank,selection_bucket,eval_id,stage,label,theta_hash,theta_path,max_abs_theta,support_size_abs_gt_0p1,active_channels_abs_gt_0p1,rho_mean_post_neutral_xy_velocity,rho_std_post_neutral_xy_velocity
0,0,arm_b_interior,98,scale_bisection,rand0003_iter00_a0p5000,e99285ae4b916cb3,runs/direction_a_px4_position_seed1_v0/thetas/B_00098_e99285ae4b916cb3.npy,0.4847826963773521,27,"pitch,roll,throttle,yaw",-0.3493910108512083,0.025025608384807
1,1,arm_b_interior,106,scale_bisection,rand0004_iter00_a0p5000,7fe9b3a3b6591ecf,runs/direction_a_px4_position_seed1_v0/thetas/B_00106_7fe9b3a3b6591ecf.npy,0.477963954824362,23,"pitch,roll,throttle,yaw",-0.4092248312224161,0.0246523071556678
2,2,arm_b_interior,109,scale_bisection,rand0004_iter03_a0p4375,e527f41bd42e0f2a,runs/direction_a_px4_position_seed1_v0/thetas/B_00109_e527f41bd42e0f2a.npy,0.4182184604713168,19,"pitch,roll,throttle,yaw",-0.1168714802493789,0.0250417570271594
3,3,arm_b_interior,125,scale_bisection,rand0009_iter00_a0p5000,95b2a01fdac23db0,runs/direction_a_px4_position_seed1_v0/thetas/B_00125_95b2a01fdac23db0.npy,0.4609438661435724,30,"pitch,roll,throttle,yaw",-0.576982931250378,0.0337076847958664
4,4,arm_b_interior,128,scale_bisection,rand0009_iter03_a0p4375,0e871777b13b4a7a,runs/direction_a_px4_position_seed1_v0/thetas/B_00128_0e871777b13b4a7a.npy,0.4033258828756259,28,"pitch,roll,throttle,yaw",-0.2776922345157916,0.0215440596682268
5,5,arm_b_interior,129,scale_bisection,rand0009_iter04_a0p4062,d1e2c0277dbbbd2b,runs/direction_a_px4_position_seed1_v0/thetas/B_00129_d1e2c0277dbbbd2b.npy,0.3745168912416526,27,"pitch,roll,throttle,yaw",-0.0894695081480335,0.0382816576228253
6,6,arm_b_interior,134,scale_bisection,rand0011_iter00_a0p5000,ec4d5c1ca3a70588,runs/direction_a_px4_position_seed1_v0/thetas/B_00134_ec4d5c1ca3a70588.npy,0.4758266752098508,22,"pitch,roll,throttle,yaw",-0.1970214125840282,0.0196009030797773
7,7,arm_b_interior,150,scale_bisection,rand0013_iter00_a0p5000,3a8ff29cf8b0bfff,runs/direction_a_px4_position_seed1_v0/thetas/B_00150_3a8ff29cf8b0bfff.npy,0.4984362130069438,24,"pitch,roll,throttle,yaw",-0.447496661141989,0.0231703496578976
8,8,arm_b_interior,153,scale_bisection,rand0013_iter03_a0p4375,c36606b974b45068,runs/direction_a_px4_position_seed1_v0/thetas/B_00153_c36606b974b45068.npy,0.4361316863810758,20,"pitch,throttle,yaw",-0.100417797549263,0.0302193138571789
9,9,arm_b_interior,158,scale_bisection,rand0014_iter00_a0p5000,be97c385176493cf,runs/direction_a_px4_position_seed1_v0/thetas/B_00158_be97c385176493cf.npy,0.4820157729060749,36,"pitch,roll,throttle,yaw",-0.4998788874015115,0.0845906743184136
