candidate_id,H_id,multipliers_json,overrides_json,M0_status,Msmall_status,M0_C_track_status,Msmall_C_track_status,C_recover_safe,C_track_safe,retained_for_stage_c,candidate_status,terminal_peak_ratio,max_tracking_nte_msmall,nonlinear_overlap_msmall_s,support_size,boundary_score,rejection_reason
rate_p_x3,H3,"{""rate_p"": 3.0}","{""MC_PITCHRATE_P"": 0.6}",violation_like,violation_like,safe,safe,False,True,False,INVALID_PURE_PARAM,6.487186295645578,0.0,0.0,1,6.537322504587753,m0_and_msmall_not_safe
rate_p_x2,H3,"{""rate_p"": 2.0}","{""MC_PITCHRATE_P"": 0.5099999904632568}",violation_like,violation_like,safe,safe,False,True,False,INVALID_PURE_PARAM,6.113480840410506,2.816098990092267,0.11999988555908203,1,6.738769409551843,m0_and_msmall_not_safe
rate_p_x1p5,H3,"{""rate_p"": 1.5}","{""MC_PITCHRATE_P"": 0.3824999928474426}",violation_like,violation_like,safe,safe,False,True,False,INVALID_PURE_PARAM,5.465678487505232,2.182553882045145,0.12000012397766113,1,5.964236169344206,m0_and_msmall_not_safe
rate_p_x1p25,H3,"{""rate_p"": 1.25}","{""MC_PITCHRATE_P"": 0.3187499940395355}",violation_like,violation_like,safe,safe,False,True,False,INVALID_PURE_PARAM,5.089378356933594,3.046072756001606,0.059999942779541016,1,5.754680215517309,m0_and_msmall_not_safe
rate_i_x3,H3,"{""rate_i"": 3.0}","{""MC_PITCHRATE_I"": 0.6000000089406967}",safe,safe,safe,safe,True,True,True,,0.10217652789184026,0.0,0.0,1,0.1646158525564714,
rate_d_high_x2p5,H3,"{""rate_d"": 2.5}","{""MC_PITCHRATE_D"": 0.006375000230036676}",violation_like,violation_like,safe,safe,False,True,False,INVALID_PURE_PARAM,4.858564649309431,2.5379447170279095,0.10400009155273438,1,5.427753354012056,m0_and_msmall_not_safe
rate_d_high_x1p75,H3,"{""rate_d"": 1.75}","{""MC_PITCHRATE_D"": 0.004462500161025673}",violation_like,violation_like,safe,safe,False,True,False,INVALID_PURE_PARAM,4.730329513549805,2.6027549733879245,0.07999992370605469,1,5.309238933882092,m0_and_msmall_not_safe
rate_d_high_x1p375,H3,"{""rate_d"": 1.375}","{""MC_PITCHRATE_D"": 0.0035062501265201718}",violation_like,violation_like,safe,safe,False,True,False,INVALID_PURE_PARAM,4.587078775678362,2.4238751749647105,0.07999992370605469,1,5.130042723433886,m0_and_msmall_not_safe
rate_d_high_x1p188,H3,"{""rate_d"": 1.1875}","{""MC_PITCHRATE_D"": 0.003028125109267421}",safe,safe,safe,safe,True,True,True,,0.08746007191283363,0.0,0.0,1,0.1338733015298293,
rate_d_low_x0p35,H3,"{""rate_d"": 0.35}","{""MC_PITCHRATE_D"": 0.0008925000322051346}",safe,safe,safe,safe,True,True,True,,0.07332169583865575,0.0,0.0,1,0.14152017298435732,
att_p_x2,H3,"{""att_p"": 2.0}","{""MC_PITCH_P"": 12.0}",safe,safe,safe,safe,True,True,True,,0.10545677372387478,1.2638266163406662,0.0,1,0.4230024252638732,
rate_p_boundary_low_d,H3,"{""rate_d"": 0.35, ""rate_p"": 1.52}","{""MC_PITCHRATE_D"": 0.0008925000322051346, ""MC_PITCHRATE_P"": 0.3875999927520752}",violation_like,violation_like,safe,safe,False,True,False,INVALID_PURE_PARAM,6.204799924577986,0.0,0.0,2,6.254953197691546,m0_and_msmall_not_safe
rate_p_boundary_high_i,H3,"{""rate_i"": 3.0, ""rate_p"": 1.52}","{""MC_PITCHRATE_I"": 0.6000000089406967, ""MC_PITCHRATE_P"": 0.3875999927520752}",violation_like,violation_like,safe,safe,False,True,False,INVALID_PURE_PARAM,5.5850120953151166,0.0,0.0,2,5.635088836624252,m0_and_msmall_not_safe
att_p_boundary_rate_p,H3,"{""att_p"": 2.0, ""rate_p"": 1.4400000000000002}","{""MC_PITCHRATE_P"": 0.36719999313354496, ""MC_PITCH_P"": 12.0}",violation_like,violation_like,safe,safe,False,True,False,INVALID_PURE_PARAM,5.473921298980713,0.0,0.0,2,5.5243767055787645,m0_and_msmall_not_safe
